Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto (CPC),Producto,Código del año,Año,Código fuente,Fuente,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F1053","Gallinas, parrilleros","1994","1994","3050","FAO TIER 1","mil toneladas","2.0676","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F1053","Gallinas, parrilleros","1994","1994","3050","FAO TIER 1","mil toneladas","3.4109","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F1053","Gallinas, parrilleros","1995","1995","3050","FAO TIER 1","mil toneladas","2.3718","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F1053","Gallinas, parrilleros","1995","1995","3050","FAO TIER 1","mil toneladas","3.9129","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F1053","Gallinas, parrilleros","1996","1996","3050","FAO TIER 1","mil toneladas","2.4084","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F1053","Gallinas, parrilleros","1996","1996","3050","FAO TIER 1","mil toneladas","3.9732","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F1053","Gallinas, parrilleros","1997","1997","3050","FAO TIER 1","mil toneladas","2.636","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F1053","Gallinas, parrilleros","1997","1997","3050","FAO TIER 1","mil toneladas","4.3487","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F1053","Gallinas, parrilleros","1998","1998","3050","FAO TIER 1","mil toneladas","2.5494","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F1053","Gallinas, parrilleros","1998","1998","3050","FAO TIER 1","mil toneladas","4.2057","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F1053","Gallinas, parrilleros","1999","1999","3050","FAO TIER 1","mil toneladas","2.6915","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F1053","Gallinas, parrilleros","1999","1999","3050","FAO TIER 1","mil toneladas","4.4402","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F1053","Gallinas, parrilleros","2000","2000","3050","FAO TIER 1","mil toneladas","2.7214","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F1053","Gallinas, parrilleros","2000","2000","3050","FAO TIER 1","mil toneladas","4.4895","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F1053","Gallinas, parrilleros","2001","2001","3050","FAO TIER 1","mil toneladas","2.8767","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F1053","Gallinas, parrilleros","2001","2001","3050","FAO TIER 1","mil toneladas","4.7458","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F1053","Gallinas, parrilleros","2002","2002","3050","FAO TIER 1","mil toneladas","2.9928","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F1053","Gallinas, parrilleros","2002","2002","3050","FAO TIER 1","mil toneladas","4.9373","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F1053","Gallinas, parrilleros","2003","2003","3050","FAO TIER 1","mil toneladas","3.1444","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F1053","Gallinas, parrilleros","2003","2003","3050","FAO TIER 1","mil toneladas","5.1874","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F1053","Gallinas, parrilleros","2004","2004","3050","FAO TIER 1","mil toneladas","3.2865","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F1053","Gallinas, parrilleros","2004","2004","3050","FAO TIER 1","mil toneladas","5.4218","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F1053","Gallinas, parrilleros","2005","2005","3050","FAO TIER 1","mil toneladas","3.5595","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F1053","Gallinas, parrilleros","2005","2005","3050","FAO TIER 1","mil toneladas","5.8722","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F1053","Gallinas, parrilleros","2006","2006","3050","FAO TIER 1","mil toneladas","3.6255","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F1053","Gallinas, parrilleros","2006","2006","3050","FAO TIER 1","mil toneladas","5.981","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72431","Total derivado del sector ganadero (emisiones N2O)","F1053","Gallinas, parrilleros","2007","2007","3050","FAO TIER 1","mil toneladas","3.7092","E","Valor estimado",""
"GLE","Emissiones derivadas del sector ganadero","484","México","72441","Total derivado del sector ganadero (emisiones CH4)","F1053","Gallinas, parrilleros","2007","2007","3050","FAO TIER 1","mil toneladas","6.1192","E","Valor estimado",""
